meeting_id,segment_id,start_time,end_time,speaker,text,is_overlap,overlap_type,topic,decision,action_item,event_type,content,owner,deadline,uncertainty_note
R8007_M8010,R8007_M8010_seg0001,0.480,8.910,N_SPK8056,哎好现在就是今天大家过来开这么一个会啊，就是各部门的负责人主要讨论一下，就是咱们公司尼尔公司搬家的这个事儿。,False,none,哎好现在就是今天过来开这么一个会，就...,,跟进哎好现在就是今天过来开这么一个会，就是各部门的负责人主要讨论，就是公司尼尔公司搬家的事儿,action_item,跟进哎好现在就是今天过来开这么一个会，就是各部门的负责人主要讨论，就是公司尼尔公司搬家的事儿,uncertain,今天,
R8007_M8010,R8007_M8010_seg0002,9.270,19.570,N_SPK8056,然后呢因为这个地方现在是十一号嘛，然后未来一个月它可能就要让我们搬走，这个地方要占，然后呢具体大家对于自己就是。,False,none,呢因为地方现在是十一号嘛，未来一个月...,,,speaker_stance,认为呢因为地方现在是十一号嘛，未来一个月它可能就要让搬走，地方要占，呢具体对于自己就是,,,
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8056,新地点的选择还有说通勤啊在各方面的有什么要求大家，先讨论一下就是。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8054,新地铁站准备搬哪去啊？,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8050,对。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8055,有没有备选的这个几个地点。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8054,完了，看看那个。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8050,有没有备选方案？还是。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8056,呃交通的话就是说。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8010,R8007_M8010_seg0003,20.120,55.480,N_SPK8054,交通。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
