meeting_id,segment_id,start_time,end_time,speaker,text,is_overlap,overlap_type,topic,decision,action_item,event_type,content,owner,deadline,uncertainty_note
R8007_M8011,R8007_M8011_seg0001,1.480,11.520,N_SPK8066,大家好，欢迎来参加本次的讨论会啊，咱们这次讨论会呢主要是说一下短视频APP对我们的生活的一个影响以及体验的一个调查。,False,none,,,,topic_transition,讨论好，欢迎来参加本次的讨论会，这次讨论会呢主要是说短视频APP对的生活的一个影响以及体验的...,,,
R8007_M8011,R8007_M8011_seg0002,11.970,24.000,N_SPK8066,首先呢，咱们讲一下这个用户现在对短视频的这个需求点主要是在哪些方面，就我个人而言，对我来说短视频提供最多的是一些情感类的搞笑类的。,False,none,,,,topic_transition,讨论首先呢，讲用户现在对短视频的需求点主要是在哪些方面，就我个人而言，对我来说短视频提供最多...,,,
R8007_M8011,R8007_M8011_seg0003,24.350,34.090,N_SPK8066,科普类以及适用于社交方面的还有一些提供技能方面的一些点，咱们可以对这些方面可以进行一些讨论。,False,none,,,,speaker_stance,认为科普类以及适用于社交方面的还有一些提供技能方面的一些点，可以对这些方面可以进行一些讨论,,,
R8007_M8011,R8007_M8011_seg0004,34.800,46.150,N_SPK8068,啊，个人而言的话，我这人用的就是娱乐的比较多，就是买衣服买包包啊鞋子呀这一类的，反正在上面都会买，因。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0004,34.800,46.150,N_SPK8066,就云购物。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0005,47.460,60.730,N_SPK8066,也算是云购物现在对。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0005,47.460,60.730,N_SPK8068,差不多吧，因为不光是我自己一个人买，属于入入坑的，然后因为是自己的那个闺蜜啊啥的在上面买衣服啊啥的，买完了之后质量比较好。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8068,然后他们就会推荐推荐给我的话，我就会看着有兴趣，对对就是这样儿呢。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8069,就种草了。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8067,而且在抖音上或者这些短视频平台的话，都是一些主播带货，就是省去了我们自己挑款的时间，嗯。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8066,那像云购物像淘宝啊这种东西，其实也是可以提供这种服务的大。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8068,嗯。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8068,不一样不一样的。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8067,就是我说的是主播带货，就是可以把挑款的时间交给主播，我们如果相信这个主播的话，就会从他那儿买东西。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8069,淘宝的话。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8066,啊他会把所有的功能给你展示出来。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8067,对，如果要是我们在淘宝上买东西的话，还要自己挑款，自己挑看，挑质量，如果你相信那个主播的话，你就可以直接在那儿，在他那儿买。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8066,就是他会把你所需求的东西的点给你整理完毕之后，告诉你这款是ok的然后你就可以去选择这一款。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8068,对，你。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8067,对对对，可以。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0006,60.730,108.530,N_SPK8068,是，觉得你需要这个东西，然后你就可以购入就可以买了。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0007,108.610,114.420,N_SPK8067,因为现在上班时间都特别忙嘛，然后就会时，私下的时间比较少。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0007,108.610,114.420,N_SPK8069,但。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8066,就减少了你。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8069,但是据我所知，淘宝现在也是有那个主播的就是卖东西。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8067,对。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8066,对这也是淘宝的一个APP的也算是属于短视频APP里的。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8069,是学他的这个。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8068,先入为主嘛，就是开快手儿和那个抖音先，对出来，先出来的，然后大家，就是不光是你自己，你身边的朋友，所有人手机里都有。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8066,快手跟抖音是比较先出的对。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0008,114.900,137.190,N_SPK8067,对对对对对。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0009,137.190,162.210,N_SPK8068,抖音或者说是这个快手，然后你肯定就是，好看的然后他就会分享，分享了之后你就会看，然后你可能你觉得需要这个东西会下载，你就去找这个人儿去买这东西。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0009,137.190,162.210,N_SPK8066,对。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0009,137.190,162.210,N_SPK8066,当然对。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0009,137.190,162.210,N_SPK8067,啊，是的是的是的。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0009,137.190,162.210,N_SPK8066,对，云购物这其实只是暂时短视频提供的其中的一个福利点之一，短视频最主要的还是提供一些短视频的一些分享，像一些搞笑的段子啊一些什么样的东西，对大家其实。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0009,137.190,162.210,N_SPK8069,有娱乐方面儿的。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0009,137.190,162.210,N_SPK8067,嗯。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0010,162.770,192.050,N_SPK8066,对我来言对我而言，我刚接触短视频的话是发现这个，呃搞笑的视频会比较多一些比较吸引我一些会比较减压所以会。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0010,162.770,192.050,N_SPK8067,我刚我刚开始看的就是技术流的视频。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0010,162.770,192.050,N_SPK8068,他。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8007_M8011,R8007_M8011_seg0010,162.770,192.050,N_SPK8068,的。,True,partial,,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
