meeting_id,segment_id,start_time,end_time,speaker,text,is_overlap,overlap_type,topic,decision,action_item,event_type,content,owner,deadline,uncertainty_note
R8003_M8001,R8003_M8001_seg0001,24.450,31.590,N_SPK8003,这不是快到了教师节了吗，那个看看都给孩子就是老师送点什么呀，给他们班主任嗯。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0001,24.450,31.590,N_SPK8004,嗯。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0002,32.120,32.470,N_SPK8004,嗯。,False,none,嗯。,,,speaker_stance,认为嗯,,,
R8003_M8001,R8003_M8001_seg0003,32.730,35.320,N_SPK8003,那个你们有什么好想法吗？,False,none,你们有什么好想法吗？,,,open_question,待确认你们有什么好想法吗？,,,
R8003_M8001,R8003_M8001_seg0004,36.750,39.670,N_SPK8004,我觉得这个来说呢，可能是。,False,none,来说呢，可能是,,,speaker_stance,认为来说呢，可能是,,,
R8003_M8001,R8003_M8001_seg0005,40.740,65.390,N_SPK8004,双份儿表示，家长去送一份儿，可能孩子可能自己画了个画儿，也给送给老师，我觉得这样是不是好一些？还是说家长代表了孩子，代表了家长单独送给老师。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0005,40.740,65.390,N_SPK8002,孩子。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0005,40.740,65.390,N_SPK8002,孩子。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0005,40.740,65.390,N_SPK8002,我觉得双，我觉得是双份儿，然后让自个儿的孩子做一个手工或者画个画儿，做一个手工创意这方面的，对。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0005,40.740,65.390,N_SPK8004,嗯。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0005,40.740,65.390,N_SPK8004,画了一个画儿，然后让家长买一个比较精美的框儿给裱起来。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
R8003_M8001,R8003_M8001_seg0006,65.660,78.840,N_SPK8002,哦，可以，然后还可以像，如果要是家长送，比方说因为老师嘛，然后一天上课要讲很多话，比方说保温杯啊，或者是，提提神补脑的，比方说三只松鼠这种零食。,True,partial,高重叠不确定,,,uncertainty,高重叠语音，内容或说话人归属不确定,,,多人同时说话，按项目规则标为不确定
